Área Geográfica publicada nos Censos
Sigla;Código;Município;2010;
SC;4200051;Abdon Batista;235,6;
SC;4200101;Abelardo Luz;955,4;
SC;4200200;Agrolândia;207,1;
SC;4200309;Agronômica;130;
SC;4200408;Água Doce;1313;
SC;4200507;Águas de Chapecó;139,1;
SC;4200556;Águas Frias;75,2;
SC;4200606;Águas Mornas;326,5;
SC;4200705;Alfredo Wagner;732,3;
SC;4200754;Alto Bela Vista;103,6;
SC;4200804;Anchieta;228,6;
SC;4200903;Angelina;499,9;
SC;4201000;Anita Garibaldi;588,6;
SC;4201109;Anitápolis;542,4;
SC;4201208;Antônio Carlos;229,1;
SC;4201257;Apiúna;493,5;
SC;4201273;Arabutã;132,2;
SC;4201307;Araquari;386,1;
SC;4201406;Araranguá;303,9;
SC;4201505;Armazém;173,5;
SC;4201604;Arroio Trinta;94,3;
SC;4201653;Arvoredo;90,7;
SC;4201703;Ascurra;111,7;
SC;4201802;Atalanta;94,5;
SC;4201901;Aurora;206,9;
SC;4201950;Balneário Arroio do Silva;94,6;
SC;4202008;Balneário Camboriú;46,8;
SC;4202057;Balneário Barra do Sul;110,5;
SC;4202073;Balneário Gaivota;147,5;
SC;4202081;Bandeirante;146,3;
SC;4202099;Barra Bonita;93,5;
SC;4202107;Barra Velha;140,2;
SC;4202131;Bela Vista do Toldo;534,6;
SC;4202156;Belmonte;93,6;
SC;4202206;Benedito Novo;388,2;
SC;4202305;Biguaçu;374,5;
SC;4202404;Blumenau;519,8;
SC;4202438;Bocaina do Sul;513;
SC;4202453;Bombinhas;33,8;
SC;4202503;Bom Jardim da Serra;935,2;
SC;4202537;Bom Jesus;63,6;
SC;4202578;Bom Jesus do Oeste;67,9;
SC;4202602;Bom Retiro;1055,5;
SC;4202701;Botuverá;303;
SC;4202800;Braço do Norte;211,6;
SC;4202859;Braço do Trombudo;89,7;
SC;4202875;Brunópolis;335,5;
SC;4202909;Brusque;283,4;
SC;4203006;Caçador;981,9;
SC;4203105;Caibi;171,7;
SC;4203154;Calmon;639,5;
SC;4203204;Camboriú;214,5;
SC;4203253;Capão Alto;1335,3;
SC;4203303;Campo Alegre;496,1;
SC;4203402;Campo Belo do Sul;1027,4;
SC;4203501;Campo Erê;478,7;
SC;4203600;Campos Novos;1719,2;
SC;4203709;Canelinha;151,4;
SC;4203808;Canoinhas;1144,8;
SC;4203907;Capinzal;243,9;
SC;4203956;Capivari de Baixo;53,2;
SC;4204004;Catanduvas;198;
SC;4204103;Caxambu do Sul;140,6;
SC;4204152;Celso Ramos;207,4;
SC;4204178;Cerro Negro;416,8;
SC;4204194;Chapadão do Lageado;124,5;
SC;4204202;Chapecó;624,3;
SC;4204251;Cocal do Sul;71,2;
SC;4204301;Concórdia;797,3;
SC;4204350;Cordilheira Alta;83,8;
SC;4204400;Coronel Freitas;234,2;
SC;4204459;Coronel Martins;107,4;
SC;4204509;Corupá;405;
SC;4204558;Correia Pinto;651,6;
SC;4204608;Criciúma;235,6;
SC;4204707;Cunha Porã;220,3;
SC;4204756;Cunhataí;54,5;
SC;4204806;Curitibanos;952,3;
SC;4204905;Descanso;285,6;
SC;4205001;Dionísio Cerqueira;377,7;
SC;4205100;Dona Emma;181;
SC;4205159;Doutor Pedrinho;375,8;
SC;4205175;Entre Rios;105,2;
SC;4205191;Ermo;63,9;
SC;4205209;Erval Velho;207,2;
SC;4205308;Faxinal dos Guedes;339,6;
SC;4205357;Flor do Sertão;58,7;
SC;4205407;Florianópolis;671,6;
SC;4205431;Formosa do Sul;99,6;
SC;4205456;Forquilhinha;181,9;
SC;4205506;Fraiburgo;546,3;
SC;4205555;Frei Rogério;157,8;
SC;4205605;Galvão;121,9;
SC;4205704;Garopaba;115,6;
SC;4205803;Garuva;501,4;
SC;4205902;Gaspar;386,4;
SC;4206009;Governador Celso Ramos;116,7;
SC;4206108;Grão Pará;336,2;
SC;4206207;Gravatal;168,4;
SC;4206306;Guabiruba;173,6;
SC;4206405;Guaraciaba;330,6;
SC;4206504;Guaramirim;268,1;
SC;4206603;Guarujá do Sul;100,5;
SC;4206652;Guatambú;204,8;
SC;4206702;Herval d'Oeste;216,8;
SC;4206751;Ibiam;147,3;
SC;4206801;Ibicaré;156,1;
SC;4206900;Ibirama;246,7;
SC;4207007;Içara;294,1;
SC;4207106;Ilhota;253,4;
SC;4207205;Imaruí;542,2;
SC;4207304;Imbituba;182,5;
SC;4207403;Imbuia;121,9;
SC;4207502;Indaial;430,5;
SC;4207577;Iomerê;114,7;
SC;4207601;Ipira;155,4;
SC;4207650;Iporã do Oeste;202,4;
SC;4207684;Ipuaçu;261,4;
SC;4207700;Ipumirim;247,1;
SC;4207759;Iraceminha;164,4;
SC;4207809;Irani;327;
SC;4207858;Irati;77,5;
SC;4207908;Irineópolis;591,3;
SC;4208005;Itá;165,5;
SC;4208104;Itaiópolis;1295,3;
SC;4208203;Itajaí;289,3;
SC;4208302;Itapema;59,4;
SC;4208401;Itapiranga;280,1;
SC;4208450;Itapoá;255,7;
SC;4208500;Ituporanga;337;
SC;4208609;Jaborá;191,1;
SC;4208708;Jacinto Machado;428,8;
SC;4208807;Jaguaruna;329,4;
SC;4208906;Jaraguá do Sul;532,6;
SC;4208955;Jardinópolis;68,1;
SC;4209003;Joaçaba;232,4;
SC;4209102;Joinville;1146,9;
SC;4209151;José Boiteux;405,5;
SC;4209177;Jupiá;91,7;
SC;4209201;Lacerdópolis;68,5;
SC;4209300;Lages;2629,8;
SC;4209409;Laguna;440,7;
SC;4209458;Lajeado Grande;65,9;
SC;4209508;Laurentino;79,5;
SC;4209607;Lauro Muller;270,5;
SC;4209706;Lebon Régis;940,7;
SC;4209805;Leoberto Leal;291,2;
SC;4209854;Lindóia do Sul;189,6;
SC;4209904;Lontras;198,4;
SC;4210001;Luiz Alves;260,1;
SC;4210035;Luzerna;116,8;
SC;4210050;Macieira;260,1;
SC;4210100;Mafra;1404,2;
SC;4210209;Major Gercino;285,7;
SC;4210308;Major Vieira;526;
SC;4210407;Maracajá;63,4;
SC;4210506;Maravilha;169,4;
SC;4210555;Marema;103,6;
SC;4210605;Massaranduba;373,3;
SC;4210704;Matos Costa;432,2;
SC;4210803;Meleiro;186,6;
SC;4210852;Mirim Doce;336,3;
SC;4210902;Modelo;92,7;
SC;4211009;Mondaí;201;
SC;4211058;Monte Carlo;193,8;
SC;4211108;Monte Castelo;561,7;
SC;4211207;Morro da Fumaça;82,9;
SC;4211256;Morro Grande;256,4;
SC;4211306;Navegantes;111,5;
SC;4211405;Nova Erechim;64,4;
SC;4211454;Nova Itaberaba;137,6;
SC;4211504;Nova Trento;402,1;
SC;4211603;Nova Veneza;293,5;
SC;4211652;Novo Horizonte;151,7;
SC;4211702;Orleans;549,8;
SC;4211751;Otacílio Costa;846,6;
SC;4211801;Ouro;212,7;
SC;4211850;Ouro Verde;189,3;
SC;4211876;Paial;85,8;
SC;4211892;Painel;739,8;
SC;4211900;Palhoça;395;
SC;4212007;Palma Sola;331,8;
SC;4212056;Palmeira;292,2;
SC;4212106;Palmitos;350,7;
SC;4212205;Papanduva;759,8;
SC;4212239;Paraíso;178,6;
SC;4212254;Passo de Torres;95,2;
SC;4212270;Passos Maia;614,4;
SC;4212304;Paulo Lopes;450,4;
SC;4212403;Pedras Grandes;171,8;
SC;4212502;Penha;62;
SC;4212601;Peritiba;96,4;
SC;4212650;Pescaria Brava;;
SC;4212700;Petrolândia;306,2;
SC;4212809;Piçarras;99,4;
SC;4212908;Pinhalzinho;128,3;
SC;4213005;Pinheiro Preto;65,7;
SC;4213104;Piratuba;145,7;
SC;4213153;Planalto Alegre;62,6;
SC;4213203;Pomerode;215,9;
SC;4213302;Ponte Alta;566,8;
SC;4213351;Ponte Alta do Norte;401;
SC;4213401;Ponte Serrada;564;
SC;4213500;Porto Belo;95,8;
SC;4213609;Porto União;851,2;
SC;4213708;Pouso Redondo;359,5;
SC;4213807;Praia Grande;278,6;
SC;4213906;Presidente Castelo Branco;65,4;
SC;4214003;Presidente Getúlio;295,7;
SC;4214102;Presidente Nereu;224,7;
SC;4214151;Princesa;86,2;
SC;4214201;Quilombo;279,3;
SC;4214300;Rancho Queimado;286,4;
SC;4214409;Rio das Antas;317,2;
SC;4214508;Rio do Campo;506,2;
SC;4214607;Rio do Oeste;245,6;
SC;4214706;Rio dos Cedros;555,7;
SC;4214805;Rio do Sul;258,4;
SC;4214904;Rio Fortuna;301,9;
SC;4215000;Rio Negrinho;908,4;
SC;4215059;Rio Rufino;282,6;
SC;4215075;Riqueza;190,3;
SC;4215109;Rodeio;128,1;
SC;4215208;Romelândia;223,8;
SC;4215307;Salete;179,3;
SC;4215356;Saltinho;156,5;
SC;4215406;Salto Veloso;105;
SC;4215455;Sangão;83,1;
SC;4215505;Santa Cecília;1145,3;
SC;4215554;Santa Helena;81;
SC;4215604;Santa Rosa de Lima;203;
SC;4215653;Santa Rosa do Sul;151,4;
SC;4215679;Santa Terezinha;716,3;
SC;4215687;Santa Terezinha do Progresso;119;
SC;4215695;Santiago do Sul;73,6;
SC;4215703;Santo Amaro da Imperatriz;345;
SC;4215752;São Bernardino;145;
SC;4215802;São Bento do Sul;495,6;
SC;4215901;São Bonifácio;461,3;
SC;4216008;São Carlos;159;
SC;4216057;São Cristovão do Sul;349;
SC;4216107;São Domingos;383,7;
SC;4216206;São Francisco do Sul;493;
SC;4216255;São João do Oeste;163,7;
SC;4216305;São João Batista;220,7;
SC;4216354;São João do Itaperiú;151,9;
SC;4216404;São João do Sul;182,7;
SC;4216503;São Joaquim;1885,6;
SC;4216602;São José;151,1;
SC;4216701;São José do Cedro;279,6;
SC;4216800;São José do Cerrito;946,2;
SC;4216909;São Lourenço do Oeste;361,8;
SC;4217006;São Ludgero;107,6;
SC;4217105;São Martinho;224,5;
SC;4217154;São Miguel da Boa Vista;71,9;
SC;4217204;São Miguel do Oeste;234,4;
SC;4217253;São Pedro de Alcântara;139,6;
SC;4217303;Saudades;205,6;
SC;4217402;Schroeder;143,6;
SC;4217501;Seara;312,5;
SC;4217550;Serra Alta;90,4;
SC;4217600;Siderópolis;262,7;
SC;4217709;Sombrio;142,8;
SC;4217758;Sul Brasil;112,7;
SC;4217808;Taió;693;
SC;4217907;Tangará;389,2;
SC;4217956;Tigrinhos;57,4;
SC;4218004;Tijucas;277,2;
SC;4218103;Timbé do Sul;333,6;
SC;4218202;Timbó;127,2;
SC;4218251;Timbó Grande;596,9;
SC;4218301;Três Barras;438,1;
SC;4218350;Treviso;157,7;
SC;4218400;Treze de Maio;161,1;
SC;4218509;Treze Tílias;185,2;
SC;4218608;Trombudo Central;108,7;
SC;4218707;Tubarão;300,3;
SC;4218756;Tunápolis;132,9;
SC;4218806;Turvo;233,7;
SC;4218855;União do Oeste;93,1;
SC;4218905;Urubici;1019,2;
SC;4218954;Urupema;353,1;
SC;4219002;Urussanga;240,5;
SC;4219101;Vargeão;166,4;
SC;4219150;Vargem;350,1;
SC;4219176;Vargem Bonita;298,6;
SC;4219200;Vidal Ramos;339,1;
SC;4219309;Videira;377,9;
SC;4219358;Vitor Meireles;371,6;
SC;4219408;Witmarsum;150,8;
SC;4219507;Xanxerê;377,6;
SC;4219606;Xavantina;215,1;
SC;4219705;Xaxim;294,7;
SC;4219853;Zortéa;190,1;
SC;4220000;Balneário Rincão;;
SC;4299919;São Miguel;;
